ID,class,student_csu,major,coding_exp,taken_calc,fav_CSU,piercings,pets_sibs,season,climate_change,llm_threat,fire_alarm,wifi_down,friend_campus
1,Stat 100,This is my first semester!,Business Administration,0,No,My favorite thing about CSU is the library,3-5,4,Summer,5,3,0,1,1
2,Stat 100,This is my first semester!,Business Administration,0,No,The trees and the environment,1,2,Winter,3,3,0.5,0,0.3
3,Stat 100,This is my first semester!,Mathematics,1,Yes,Campus,2,4,Fall,2,3,0.05,0.05,0.1
4,Stat 100,I'm in my second year,Business Administration,0,No,Its a very nice college with good opportunities for students to succeed.,More than 5,More than 5,Summer,4,4,0.3,0.2,0.3
5,Stat 100,This is my first semester!,Business Administration,0,No,I really love the fresh air up hills. and I enjoy the scenery too.,2,3,Summer,3,4,0.3,0.6,0.7
6,Stat 100,This is my first semester!,Psychology,0,No,The teachers.,More than 5,More than 5,Summer,2,4,0.5,0.2,0.1
7,Stat 101,This is my first semester!,Criminal Justice,0,No,How close it is to home.,None,3,Spring,3,5,0.5,1,0.7
8,Stat 102,This is my first semester!,Nursing,1,No,My favorite thing about CSU is the environments and the support that they provide for students.,None,More than 5,Winter,4,3,0.5,0.25,0.99
9,Stat 103,This is my first semester!,Nursing,0,Yes,"My favorite thing about CSU is the overall vibes, the culture, hanging out with friends, and food",None,2,Winter,3,3,0.5,0.5,1
10,Stat 104,This is my first semester!,Business Administration,3,Yes,The many friends that I made,2,1,Winter,2,4,0.15,0.3,1
11,Stat 105,This is my first semester!,Psychology,3,No," The supportive community and collaborative environment on campus make it easy to feel connected, and
the smaller class settings help create more meaningful interactions with classmates and professors.",3-5,4,Spring,2,4,0.25,0.85,1
12,Stat 106,I'm in my second year,Business Administration,0,No,My classmates,3-5,2,Summer,3,4,0.5,0.1,1
13,Stat 107,This is my first semester!,Business Administration,0,No,I love the campus and all they offer,1,More than 5,Summer,2,5,0.87,0,0
14,Stat 108,I'm in my second year,Criminal Justice,1,No,They have all the resourses to support you. Professors give you all the support so you can pass your classes.,3-5,More than 5,Fall,3,5,1,1,1
15,Stat 109,This is my first semester!,Business Administration,0,No,"I like the campus, and how everyone is so welcoming.",More than 5,5,Summer,3,3,0.1,0.3,0.5
16,Stat 110,This is my first semester!,Nursing,1,No,"Avalible resources for students, and a chill vibe.",2,2,Summer,3,4,0.39,0.07,0.92
17,Stat 111,This is my first semester!,Business Administration,1,No,"My favorite thing about CSU East Bay so far is the diversity. It's very beautiful to see how
 many people of different cultures, backgrounds, and experiences attend here. CSU promotes diverse and equal learning experience to all students which I really appreciate as a student of Hispanic culture.",None,4,Spring,3,3,0.05,0.1,0.8
18,Stat 112,This is my first semester!,Nursing,0,No,to get tutoring when I need it,None,4,Spring,3,3,1,0,0
19,Stat 113,This is my first semester!,Business Administration,0,No,My favorite thing about CSU is making connections with people.,None,2,Summer,4,3,0.05,0.1,0.9
20,Stat 114,I'm in my third year,Kinesiology,0,Yes,my favorite thing about eastbay has been being able to go to my classes and be able to learn hands on.,None,3,Summer,3,4,0.6,0.5,0
21,Stat 115,I'm in my fourth year,Business Administration,2,No,"My favorite part of CSU so far is all the resources we have. Like a quiet place to study, theres a stem lab where we can get tutors.",None,2,Summer,4,4,0,3,5
22,Stat 116,I'm in my second year,Psychology,1,No,Sitting outside after class enjoying nature,More than 5,2,Fall,4,5,0.45,0.5,0.3
23,Stat 117,I'm in my fourth year,Kinesiology,1,No,The people I've met and the support/opportunities I've gotten during my time in my department.,2,2,Summer,4,3,0.5,0.7,1
24,Stat 118,This is my first semester!,Psychology,3,No,The teachers are very supportive and tasks are very engaging.,None,1,Winter,4,5,0.5,1,1
25,Stat 119,This is my first semester!,Psychology,2,Yes,Didn't have that much time to have a favorite.,2,5,Summer,5,1,0.12,0.7,0.01
26,Stat 120,This is my first semester!,Speech Pathology and Audiology,0,Yes,"I've really enjoyed my professors so far, and enjoy having free and easy access to the gym.",None,4,Winter,2,3,0.1,0.35,0.85
27,Stat 121,This is my first semester!,Human Development,0,No,"My favorite thing here at csu east bay is that everyone is always in they're own world no one is judging
anyone and people can be themselves.",More than 5,More than 5,Winter,3,2,0,1,1
28,Stat 316,This is my first semester!,Computer Science,3,Yes,It is a good college.,None,1,Fall,4,1,0.05,0.05,0
29,Stat 316,This is my first semester!,Computer Science,1,Yes,Starbucks is in walking distance.,More than 5,More than 5,Spring,3,3,0.25,0.5,0.05
30,Stat 316,I'm in my fourth year.,Mathematics,3,Yes,My major courses.,None,1,Fall,4,2,0.02,0.05,0.05
31,Stat 316,I'm in my second year.,Computer Science,4,Yes,CSUEB is close to home and its affordable,None,More than 5,Spring,1,5,0.1,0,0.5
32,Stat 316,I'm in my fourth year.,Computer Science,3,Yes,"My favorite thing about CSU so far is the small class sizes, which make it easier to connect with professors and classmates. The tuition is affordable, which helps reduce financial stress while pursuing my degree. I also appreciate that there are more online class options available, especially for working adults like me who need flexibility. Additionally, the school feels similar to a community college, which allows me to stay local without having to move or spend extra money on housing.",None,2,Spring,3,2,1,1,0
33,Stat 316,I'm in my fourth year.,Computer Science,5,Yes,The resources!,3-5,2,Winter,5,2,0.5,0.5,0.5
34,Stat 316,This is my first semester!,Computer Science,3,Yes,The Gym,None,1,Winter,1,5,0.01,0.05,0
35,Stat 316,I'm in my fourth year.,Mathematics,2,Yes,Learning,None,0,Fall,4,5,0.05,0.02,0.1
36,Stat 316,I'm in my fourth year.,Computer Science,2,Yes,The view,None,1,Winter,2,5,0.075,1,0
37,Stat 316,I'm in my fourth year.,Computer Science,3,Yes,The flexibility and people.,2,2,Winter,2,3,0.3,0.9,0.7
38,Stat 316,This is my first semester!,Mathematics,3,Yes,Everybody in the math major has made math a lot more enjoyable.,2,5,Spring,2,3,0.05,0.55,0.89
39,Stat 316,I'm in my fourth year.,Computer Science,3,Yes,I love the community and the diversity.,None,3,Summer,5,2,0.00%,0.00%,1%
40,Stat 316,I'm in my second year.,Computer Science,2,Yes,My favorite thing about CSU East Bay is the taqueria in the North Union (Taqueria Angelica's).,None,1,Winter,2,3,0.5,0.5,0.5
41,Stat 316,I'm in my third year.,Computer Science,3,Yes,That they have alot of helping allowed for students.,3-5,5,Fall,3,2,0.5,0.5,1
42,Stat 316,I'm in my second year.,Computer Science,3,Yes,"My favorite thing about CSU East Bay is that its been pretty chill so far. Everyone is super nice and the courses aren't too hard and most of the time, the professors will help ensure you get a good grade for the class.",None,3,Fall,4,2,0.4,0.005,0.001
43,Stat 316,I'm in my fourth year.,Computer Science,4,Yes,All of the professors are really helpful and want their students to succeed.,3-5,4,Fall,3,3,0.05,1,0.5
44,Stat 316,I'm in my third year.,Statistics,4,Yes,The friendly staff,None,0,Spring,5,3,0.001,0.01,0.25
45,Stat 316,I'm in my third year.,Computer Science,4,Yes,good professor,2,0,Fall,5,4,0,1,1
46,Stat 316,I'm in my fourth year.,Computer Science,2,Yes,Curriculum,None,2,Summer,4,5,0,0,1
47,Stat 316,I'm in my second year.,Computer Science,2,Yes,The campus,2,More than 5,Winter,2,3,0.4,0.7,0.5
48,Stat 316,I'm in my fourth year.,Computer Science,4,Yes,"I enjoy the college campus, I think it is spacious and serene. I also enjoy the flexibility of the available classes but most importantly, the cost is the main reason for my attendance.",2,5,Summer,5,1,0.15,0.1,0.05
49,Stat 316,I'm in my fourth year.,Computer Science,3,Yes,"I'm not sure, but it's nice that CSU is close to a small mall I can go to for food.",None,1,Summer,2,3,0.02,0.01,1
50,Stat 316,I'm in my second year.,Computer Science,3,Yes,Supporting environment,2,3,Winter,3,2,0.1,0.5,0.8
51,Stat 316,I'm in my fourth year.,Computer Science,4,Yes,I liked being able to sit in the Core and get work done.,2,1,Winter,3,3,0,0.5,0
52,Stat 316,I'm in my fourth year.,Computer Science,4,Yes,The parking lot,None,5,Fall,1,4,0.07,1,0
53,Stat 316,I'm in my fourth year.,Mathematics,3,Yes,The major related courses,2,2,Spring,3,3,0.05,0.1,0.25
54,Stat 316,I'm in my second year.,Computer Science,3,Yes,I like how accessible and easy it is to deal with the logistics.,None,2,Winter,5,2,0.025,0.05,0.25
55,Stat 316,I'm in my fourth year.,Computer Science,3,Yes,The open campus with a nice view of the city.,None,4,Fall,4,4,0.25,0.75,0.65
56,Stat 316,I'm in my fourth year.,Computer Science,5,Yes,The gym,None,3,Summer,3,3,0.01,0.1,0.75
57,Stat 316,I'm in my third year.,Computer Science,4,Yes,The core library is a nice place to hang around,None,0,Winter,4,2,0.05,0.2,0
58,Stat 316,I'm in my third year.,Computer Science,3,Yes,Not sure i just attend class then go home,2,More than 5,Fall,1,5,0.03,0.3,0
59,Stat 316,I'm in my second year.,Computer Science,3,Yes,"My favorite thing about CSU is the view, the gym, and the resources.",2,1,Summer,4,3,0.1,0.12,0.02
60,Stat 316,I'm in my fourth year.,Computer Science,4,Yes,Being able to meet new people,1,2,Winter,5,5,0.8,0.68,0.95
61,Stat 316,I'm in my third year.,Computer Science,5,Yes,My favorite thing about CSUEB is interacting with other students.,None,3,Fall,4,4,0.005,0.1,0.05
62,Stat 316,I'm in my third year.,Computer Science,3,Yes,I really like the campus so far and the people at CSU are really nice.,None,0,Winter,3,1,0.233333333,0.111111,0.5
63,Stat 316,I'm in my second year.,Computer Science,4,Yes,"My favorite part of CSU is how close the classes for my required courses are; I don't have to worry about doing cardio to get to my classes on time. I've been wanting to try out the on-campus restaurants, but I'm too shy to try them out.",None,More than 5,Spring,4,3,0.05,0.001,0.2
64,Stat 316,I'm in my second year.,Mathematics,0,Yes,"Meeting new people is very fun, especially in an environment that I am not native to.",None,More than 5,Spring,4,3,0.25,0.5,1
